Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Total,Maori tourism,Count,"3,100",2018
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Total,Maori tourism,Count,"3,200",2019
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Total,Maori tourism,Count,"3,500",2020
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Total,Maori tourism,Count,"2,800",2021
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Total,Maori tourism,Count,"2,750",2022
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Total,Maori tourism,Count,"3,450",2023
Table 5,Counts of businesses,By business type and size,0 to 19,Maori authorities,Counts,"1,104",2017
Table 5,Counts of businesses,By business type and size,0 to 19,Maori authorities,Counts,"1,143",2018
Table 5,Counts of businesses,By business type and size,0 to 19,Maori authorities,Counts,"1,170",2019
Table 5,Counts of businesses,By business type and size,0 to 19,Maori authorities,Counts,"1,191",2020
Table 5,Counts of businesses,By business type and size,0 to 19,Maori authorities,Counts,"1,176",2021
Table 5,Counts of businesses,By business type and size,0 to 19,Maori authorities,Counts,"1,203",2022
Table 5,Counts of businesses,By business type and size,0 to 19,Maori authorities,Counts,"1,215",2023
Table 5,Counts of businesses,By business type and size,20 to 49,Maori authorities,Counts,36,2017
Table 5,Counts of businesses,By business type and size,20 to 49,Maori authorities,Counts,36,2018
Table 5,Counts of businesses,By business type and size,20 to 49,Maori authorities,Counts,36,2019
Table 5,Counts of businesses,By business type and size,20 to 49,Maori authorities,Counts,45,2020
Table 5,Counts of businesses,By business type and size,20 to 49,Maori authorities,Counts,51,2021
Table 5,Counts of businesses,By business type and size,20 to 49,Maori authorities,Counts,60,2022
Table 5,Counts of businesses,By business type and size,20 to 49,Maori authorities,Counts,69,2023
Table 5,Counts of businesses,By business type and size,50 to 99,Maori authorities,Counts,27,2017
Table 5,Counts of businesses,By business type and size,50 to 99,Maori authorities,Counts,24,2018
Table 5,Counts of businesses,By business type and size,50 to 99,Maori authorities,Counts,30,2019
Table 5,Counts of businesses,By business type and size,50 to 99,Maori authorities,Counts,27,2020
Table 5,Counts of businesses,By business type and size,50 to 99,Maori authorities,Counts,27,2021
Table 5,Counts of businesses,By business type and size,50 to 99,Maori authorities,Counts,33,2022
Table 5,Counts of businesses,By business type and size,50 to 99,Maori authorities,Counts,24,2023
Table 5,Counts of businesses,By business type and size,100+,Maori authorities,Counts,18,2017
Table 5,Counts of businesses,By business type and size,100+,Maori authorities,Counts,21,2018
Table 5,Counts of businesses,By business type and size,100+,Maori authorities,Counts,21,2019
Table 5,Counts of businesses,By business type and size,100+,Maori authorities,Counts,27,2020
Table 5,Counts of businesses,By business type and size,100+,Maori authorities,Counts,24,2021
Table 5,Counts of businesses,By business type and size,100+,Maori authorities,Counts,27,2022
Table 5,Counts of businesses,By business type and size,100+,Maori authorities,Counts,30,2023
Table 5,Counts of businesses,By business type and size,Total,Maori authorities,Counts,"1,188",2017
Table 5,Counts of businesses,By business type and size,Total,Maori authorities,Counts,"1,224",2018
Table 5,Counts of businesses,By business type and size,Total,Maori authorities,Counts,"1,257",2019
Table 5,Counts of businesses,By business type and size,Total,Maori authorities,Counts,"1,287",2020
Table 5,Counts of businesses,By business type and size,Total,Maori authorities,Counts,"1,278",2021
Table 5,Counts of businesses,By business type and size,Total,Maori authorities,Counts,"1,323",2022
Table 5,Counts of businesses,By business type and size,Total,Maori authorities,Counts,"1,338",2023
Table 5,Counts of businesses,By business type and size,0 to 19,Other Maori enterprises,Counts,"2,274",2017
Table 5,Counts of businesses,By business type and size,0 to 19,Other Maori enterprises,Counts,"2,442",2018
Table 5,Counts of businesses,By business type and size,0 to 19,Other Maori enterprises,Counts,"2,652",2019
Table 5,Counts of businesses,By business type and size,0 to 19,Other Maori enterprises,Counts,"2,868",2020
Table 5,Counts of businesses,By business type and size,0 to 19,Other Maori enterprises,Counts,"3,102",2021
Table 5,Counts of businesses,By business type and size,0 to 19,Other Maori enterprises,Counts,"3,369",2022
Table 5,Counts of businesses,By business type and size,0 to 19,Other Maori enterprises,Counts,"3,420",2023
Table 5,Counts of businesses,By business type and size,20 to 49,Other Maori enterprises,Counts,213,2017
Table 5,Counts of businesses,By business type and size,20 to 49,Other Maori enterprises,Counts,222,2018
Table 5,Counts of businesses,By business type and size,20 to 49,Other Maori enterprises,Counts,243,2019
Table 5,Counts of businesses,By business type and size,20 to 49,Other Maori enterprises,Counts,225,2020
Table 5,Counts of businesses,By business type and size,20 to 49,Other Maori enterprises,Counts,240,2021
Table 5,Counts of businesses,By business type and size,20 to 49,Other Maori enterprises,Counts,264,2022
Table 5,Counts of businesses,By business type and size,20 to 49,Other Maori enterprises,Counts,255,2023
Table 5,Counts of businesses,By business type and size,50 to 99,Other Maori enterprises,Counts,75,2017
Table 5,Counts of businesses,By business type and size,50 to 99,Other Maori enterprises,Counts,75,2018
Table 5,Counts of businesses,By business type and size,50 to 99,Other Maori enterprises,Counts,81,2019
Table 5,Counts of businesses,By business type and size,50 to 99,Other Maori enterprises,Counts,105,2020
Table 5,Counts of businesses,By business type and size,50 to 99,Other Maori enterprises,Counts,105,2021
Table 5,Counts of businesses,By business type and size,50 to 99,Other Maori enterprises,Counts,102,2022
Table 5,Counts of businesses,By business type and size,50 to 99,Other Maori enterprises,Counts,108,2023
Table 5,Counts of businesses,By business type and size,100+,Other Maori enterprises,Counts,27,2017
Table 5,Counts of businesses,By business type and size,100+,Other Maori enterprises,Counts,36,2018
Table 5,Counts of businesses,By business type and size,100+,Other Maori enterprises,Counts,42,2019
Table 5,Counts of businesses,By business type and size,100+,Other Maori enterprises,Counts,42,2020
Table 5,Counts of businesses,By business type and size,100+,Other Maori enterprises,Counts,45,2021
Table 5,Counts of businesses,By business type and size,100+,Other Maori enterprises,Counts,60,2022
Table 5,Counts of businesses,By business type and size,100+,Other Maori enterprises,Counts,66,2023
Table 5,Counts of businesses,By business type and size,Total,Other Maori enterprises,Counts,"2,592",2017
Table 5,Counts of businesses,By business type and size,Total,Other Maori enterprises,Counts,"2,778",2018
Table 5,Counts of businesses,By business type and size,Total,Other Maori enterprises,Counts,"3,018",2019
Table 5,Counts of businesses,By business type and size,Total,Other Maori enterprises,Counts,"3,240",2020
Table 5,Counts of businesses,By business type and size,Total,Other Maori enterprises,Counts,"3,492",2021
Table 5,Counts of businesses,By business type and size,Total,Other Maori enterprises,Counts,"3,795",2022
Table 5,Counts of businesses,By business type and size,Total,Other Maori enterprises,Counts,"3,849",2023
Table 5,Counts of businesses,By business type and size,0 to 19,Maori tourism,Counts,255,2017
Table 5,Counts of businesses,By business type and size,0 to 19,Maori tourism,Counts,270,2018
Table 5,Counts of businesses,By business type and size,0 to 19,Maori tourism,Counts,282,2019
Table 5,Counts of businesses,By business type and size,0 to 19,Maori tourism,Counts,288,2020
Table 5,Counts of businesses,By business type and size,0 to 19,Maori tourism,Counts,309,2021
Table 5,Counts of businesses,By business type and size,0 to 19,Maori tourism,Counts,333,2022
Table 5,Counts of businesses,By business type and size,0 to 19,Maori tourism,Counts,330,2023
Table 5,Counts of businesses,By business type and size,20 to 49,Maori tourism,Counts,36,2017
Table 5,Counts of businesses,By business type and size,20 to 49,Maori tourism,Counts,33,2018
Table 5,Counts of businesses,By business type and size,20 to 49,Maori tourism,Counts,30,2019
Table 5,Counts of businesses,By business type and size,20 to 49,Maori tourism,Counts,27,2020
Table 5,Counts of businesses,By business type and size,20 to 49,Maori tourism,Counts,21,2021
Table 5,Counts of businesses,By business type and size,20 to 49,Maori tourism,Counts,18,2022
Table 5,Counts of businesses,By business type and size,20 to 49,Maori tourism,Counts,27,2023
Table 5,Counts of businesses,By business type and size,50+,Maori tourism,Counts,18,2017
Table 5,Counts of businesses,By business type and size,50+,Maori tourism,Counts,15,2018
Table 5,Counts of businesses,By business type and size,50+,Maori tourism,Counts,21,2019
Table 5,Counts of businesses,By business type and size,50+,Maori tourism,Counts,21,2020
Table 5,Counts of businesses,By business type and size,50+,Maori tourism,Counts,18,2021
Table 5,Counts of businesses,By business type and size,50+,Maori tourism,Counts,15,2022
Table 5,Counts of businesses,By business type and size,50+,Maori tourism,Counts,18,2023
Table 5,Counts of businesses,By business type and size,Total,Maori tourism,Counts,309,2017
Table 5,Counts of businesses,By business type and size,Total,Maori tourism,Counts,318,2018
Table 5,Counts of businesses,By business type and size,Total,Maori tourism,Counts,330,2019
Table 5,Counts of businesses,By business type and size,Total,Maori tourism,Counts,339,2020
Table 5,Counts of businesses,By business type and size,Total,Maori tourism,Counts,348,2021
Table 5,Counts of businesses,By business type and size,Total,Maori tourism,Counts,366,2022
Table 5,Counts of businesses,By business type and size,Total,Maori tourism,Counts,372,2023
Table 6,Count of employees,By business type and size,0 to 19,Maori authorities,Count,"2,050",2017
Table 6,Count of employees,By business type and size,0 to 19,Maori authorities,Count,"2,050",2018
Table 6,Count of employees,By business type and size,0 to 19,Maori authorities,Count,"2,150",2019
Table 6,Count of employees,By business type and size,0 to 19,Maori authorities,Count,"2,050",2020
Table 6,Count of employees,By business type and size,0 to 19,Maori authorities,Count,"2,100",2021
Table 6,Count of employees,By business type and size,0 to 19,Maori authorities,Count,"2,000",2022
Table 6,Count of employees,By business type and size,0 to 19,Maori authorities,Count,"2,000",2023
Table 6,Count of employees,By business type and size,20 to 49,Maori authorities,Count,"1,100",2017
Table 6,Count of employees,By business type and size,20 to 49,Maori authorities,Count,"1,050",2018
Table 6,Count of employees,By business type and size,20 to 49,Maori authorities,Count,"1,100",2019
Table 6,Count of employees,By business type and size,20 to 49,Maori authorities,Count,"1,400",2020
Table 6,Count of employees,By business type and size,20 to 49,Maori authorities,Count,"1,700",2021
Table 6,Count of employees,By business type and size,20 to 49,Maori authorities,Count,"1,850",2022
Table 6,Count of employees,By business type and size,20 to 49,Maori authorities,Count,"2,100",2023
Table 6,Count of employees,By business type and size,50 to 99,Maori authorities,Count,"1,800",2017
Table 6,Count of employees,By business type and size,50 to 99,Maori authorities,Count,"1,650",2018
Table 6,Count of employees,By business type and size,50 to 99,Maori authorities,Count,"1,950",2019
Table 6,Count of employees,By business type and size,50 to 99,Maori authorities,Count,"1,700",2020
Table 6,Count of employees,By business type and size,50 to 99,Maori authorities,Count,"1,950",2021
Table 6,Count of employees,By business type and size,50 to 99,Maori authorities,Count,"2,050",2022
Table 6,Count of employees,By business type and size,50 to 99,Maori authorities,Count,"1,650",2023
Table 6,Count of employees,By business type and size,100+,Maori authorities,Count,"6,100",2017
Table 6,Count of employees,By business type and size,100+,Maori authorities,Count,"6,600",2018
Table 6,Count of employees,By business type and size,100+,Maori authorities,Count,"6,900",2019
Table 6,Count of employees,By business type and size,100+,Maori authorities,Count,"7,400",2020
Table 6,Count of employees,By business type and size,100+,Maori authorities,Count,"4,950",2021
Table 6,Count of employees,By business type and size,100+,Maori authorities,Count,"6,000",2022
Table 6,Count of employees,By business type and size,100+,Maori authorities,Count,"6,500",2023
Table 6,Count of employees,By business type and size,Total,Maori authorities,Count,"11,100",2017
Table 6,Count of employees,By business type and size,Total,Maori authorities,Count,"11,300",2018
Table 6,Count of employees,By business type and size,Total,Maori authorities,Count,"12,100",2019
Table 6,Count of employees,By business type and size,Total,Maori authorities,Count,"12,600",2020
Table 6,Count of employees,By business type and size,Total,Maori authorities,Count,"10,700",2021
Table 6,Count of employees,By business type and size,Total,Maori authorities,Count,"11,900",2022
Table 6,Count of employees,By business type and size,Total,Maori authorities,Count,"12,300",2023
Table 6,Count of employees,By business type and size,0 to 19,Other Maori enterprises,Count,"6,700",2017
Table 6,Count of employees,By business type and size,0 to 19,Other Maori enterprises,Count,"7,200",2018
Table 6,Count of employees,By business type and size,0 to 19,Other Maori enterprises,Count,"7,400",2019
Table 6,Count of employees,By business type and size,0 to 19,Other Maori enterprises,Count,"8,100",2020
Table 6,Count of employees,By business type and size,0 to 19,Other Maori enterprises,Count,"8,900",2021
Table 6,Count of employees,By business type and size,0 to 19,Other Maori enterprises,Count,"9,800",2022
Table 6,Count of employees,By business type and size,0 to 19,Other Maori enterprises,Count,"10,000",2023
Table 6,Count of employees,By business type and size,20 to 49,Other Maori enterprises,Count,"6,400",2017
Table 6,Count of employees,By business type and size,20 to 49,Other Maori enterprises,Count,"6,900",2018
Table 6,Count of employees,By business type and size,20 to 49,Other Maori enterprises,Count,"7,400",2019
Table 6,Count of employees,By business type and size,20 to 49,Other Maori enterprises,Count,"6,900",2020
Table 6,Count of employees,By business type and size,20 to 49,Other Maori enterprises,Count,"7,400",2021
Table 6,Count of employees,By business type and size,20 to 49,Other Maori enterprises,Count,"8,200",2022
Table 6,Count of employees,By business type and size,20 to 49,Other Maori enterprises,Count,"7,700",2023
Table 6,Count of employees,By business type and size,50 to 99,Other Maori enterprises,Count,"5,200",2017
Table 6,Count of employees,By business type and size,50 to 99,Other Maori enterprises,Count,"5,200",2018
Table 6,Count of employees,By business type and size,50 to 99,Other Maori enterprises,Count,"5,600",2019
Table 6,Count of employees,By business type and size,50 to 99,Other Maori enterprises,Count,"6,900",2020
Table 6,Count of employees,By business type and size,50 to 99,Other Maori enterprises,Count,"7,200",2021
Table 6,Count of employees,By business type and size,50 to 99,Other Maori enterprises,Count,"7,100",2022
Table 6,Count of employees,By business type and size,50 to 99,Other Maori enterprises,Count,"7,300",2023
Table 6,Count of employees,By business type and size,100+,Other Maori enterprises,Count,"6,700",2017
Table 6,Count of employees,By business type and size,100+,Other Maori enterprises,Count,"8,400",2018
Table 6,Count of employees,By business type and size,100+,Other Maori enterprises,Count,"9,200",2019
Table 6,Count of employees,By business type and size,100+,Other Maori enterprises,Count,"10,100",2020
Table 6,Count of employees,By business type and size,100+,Other Maori enterprises,Count,"10,800",2021
Table 6,Count of employees,By business type and size,100+,Other Maori enterprises,Count,"14,300",2022
Table 6,Count of employees,By business type and size,100+,Other Maori enterprises,Count,"14,100",2023
Table 6,Count of employees,By business type and size,Total,Other Maori enterprises,Count,"25,100",2017
Table 6,Count of employees,By business type and size,Total,Other Maori enterprises,Count,"27,800",2018
Table 6,Count of employees,By business type and size,Total,Other Maori enterprises,Count,"29,700",2019
Table 6,Count of employees,By business type and size,Total,Other Maori enterprises,Count,"32,000",2020
Table 6,Count of employees,By business type and size,Total,Other Maori enterprises,Count,"34,400",2021
Table 6,Count of employees,By business type and size,Total,Other Maori enterprises,Count,"39,400",2022
Table 6,Count of employees,By business type and size,Total,Other Maori enterprises,Count,"39,200",2023
Table 6,Count of employees,By business type and size,0 to 19,Maori tourism,Count,760,2017
Table 6,Count of employees,By business type and size,0 to 19,Maori tourism,Count,790,2018
Table 6,Count of employees,By business type and size,0 to 19,Maori tourism,Count,850,2019
Table 6,Count of employees,By business type and size,0 to 19,Maori tourism,Count,810,2020
Table 6,Count of employees,By business type and size,0 to 19,Maori tourism,Count,980,2021
Table 6,Count of employees,By business type and size,0 to 19,Maori tourism,Count,940,2022
Table 6,Count of employees,By business type and size,0 to 19,Maori tourism,Count,930,2023
Table 6,Count of employees,By business type and size,20 to 49,Maori tourism,Count,"1,000",2017
Table 6,Count of employees,By business type and size,20 to 49,Maori tourism,Count,"1,050",2018
Table 6,Count of employees,By business type and size,20 to 49,Maori tourism,Count,900,2019
Table 6,Count of employees,By business type and size,20 to 49,Maori tourism,Count,820,2020
Table 6,Count of employees,By business type and size,20 to 49,Maori tourism,Count,590,2021
Table 6,Count of employees,By business type and size,20 to 49,Maori tourism,Count,660,2022
Table 6,Count of employees,By business type and size,20 to 49,Maori tourism,Count,790,2023
Table 6,Count of employees,By business type and size,50+,Maori tourism,Count,"1,300",2017
Table 6,Count of employees,By business type and size,50+,Maori tourism,Count,"1,300",2018
Table 6,Count of employees,By business type and size,50+,Maori tourism,Count,"1,450",2019
Table 6,Count of employees,By business type and size,50+,Maori tourism,Count,"1,850",2020
Table 6,Count of employees,By business type and size,50+,Maori tourism,Count,"1,250",2021
Table 6,Count of employees,By business type and size,50+,Maori tourism,Count,"1,150",2022
Table 6,Count of employees,By business type and size,50+,Maori tourism,Count,"1,750",2023
Table 6,Count of employees,By business type and size,Total,Maori tourism,Count,"3,100",2017
Table 6,Count of employees,By business type and size,Total,Maori tourism,Count,"3,100",2018
Table 6,Count of employees,By business type and size,Total,Maori tourism,Count,"3,200",2019
Table 6,Count of employees,By business type and size,Total,Maori tourism,Count,"3,500",2020
Table 6,Count of employees,By business type and size,Total,Maori tourism,Count,"2,800",2021
Table 6,Count of employees,By business type and size,Total,Maori tourism,Count,"2,750",2022
Table 6,Count of employees,By business type and size,Total,Maori tourism,Count,"3,450",2023
Table 7,Counts of geographic units and employees,By region,Northland ,Geographic units,Counts,375,2017
Table 7,Counts of geographic units and employees,By region,Northland ,Geographic units,Counts,393,2018
Table 7,Counts of geographic units and employees,By region,Northland ,Geographic units,Counts,420,2019
Table 7,Counts of geographic units and employees,By region,Northland ,Geographic units,Counts,441,2020
Table 7,Counts of geographic units and employees,By region,Northland ,Geographic units,Counts,477,2021
Table 7,Counts of geographic units and employees,By region,Northland ,Geographic units,Counts,510,2022
Table 7,Counts of geographic units and employees,By region,Northland ,Geographic units,Counts,510,2023
Table 7,Counts of geographic units and employees,By region,Auckland ,Geographic units,Counts,672,2017
Table 7,Counts of geographic units and employees,By region,Auckland ,Geographic units,Counts,723,2018
Table 7,Counts of geographic units and employees,By region,Auckland ,Geographic units,Counts,801,2019
Table 7,Counts of geographic units and employees,By region,Auckland ,Geographic units,Counts,843,2020
Table 7,Counts of geographic units and employees,By region,Auckland ,Geographic units,Counts,912,2021
Table 7,Counts of geographic units and employees,By region,Auckland ,Geographic units,Counts,975,2022
Table 7,Counts of geographic units and employees,By region,Auckland ,Geographic units,Counts,984,2023
Table 7,Counts of geographic units and employees,By region,Waikato ,Geographic units,Counts,597,2017
Table 7,Counts of geographic units and employees,By region,Waikato ,Geographic units,Counts,621,2018
Table 7,Counts of geographic units and employees,By region,Waikato ,Geographic units,Counts,654,2019
Table 7,Counts of geographic units and employees,By region,Waikato ,Geographic units,Counts,687,2020
Table 7,Counts of geographic units and employees,By region,Waikato ,Geographic units,Counts,708,2021
Table 7,Counts of geographic units and employees,By region,Waikato ,Geographic units,Counts,762,2022
Table 7,Counts of geographic units and employees,By region,Waikato ,Geographic units,Counts,768,2023
Table 7,Counts of geographic units and employees,By region,Bay of Plenty ,Geographic units,Counts,780,2017
Table 7,Counts of geographic units and employees,By region,Bay of Plenty ,Geographic units,Counts,825,2018
Table 7,Counts of geographic units and employees,By region,Bay of Plenty ,Geographic units,Counts,867,2019
Table 7,Counts of geographic units and employees,By region,Bay of Plenty ,Geographic units,Counts,897,2020
Table 7,Counts of geographic units and employees,By region,Bay of Plenty ,Geographic units,Counts,912,2021
Table 7,Counts of geographic units and employees,By region,Bay of Plenty ,Geographic units,Counts,957,2022
Table 7,Counts of geographic units and employees,By region,Bay of Plenty ,Geographic units,Counts,975,2023
Table 7,Counts of geographic units and employees,By region,Gisborne,Geographic units,Counts,234,2017
Table 7,Counts of geographic units and employees,By region,Gisborne,Geographic units,Counts,243,2018
Table 7,Counts of geographic units and employees,By region,Gisborne,Geographic units,Counts,255,2019
Table 7,Counts of geographic units and employees,By region,Gisborne,Geographic units,Counts,255,2020
Table 7,Counts of geographic units and employees,By region,Gisborne,Geographic units,Counts,273,2021
Table 7,Counts of geographic units and employees,By region,Gisborne,Geographic units,Counts,288,2022
Table 7,Counts of geographic units and employees,By region,Gisborne,Geographic units,Counts,300,2023
Table 7,Counts of geographic units and employees,By region,Hawke's Bay ,Geographic units,Counts,210,2017
Table 7,Counts of geographic units and employees,By region,Hawke's Bay ,Geographic units,Counts,225,2018
Table 7,Counts of geographic units and employees,By region,Hawke's Bay ,Geographic units,Counts,243,2019
Table 7,Counts of geographic units and employees,By region,Hawke's Bay ,Geographic units,Counts,264,2020
Table 7,Counts of geographic units and employees,By region,Hawke's Bay ,Geographic units,Counts,276,2021
Table 7,Counts of geographic units and employees,By region,Hawke's Bay ,Geographic units,Counts,294,2022
Table 7,Counts of geographic units and employees,By region,Hawke's Bay ,Geographic units,Counts,300,2023
Table 7,Counts of geographic units and employees,By region,Taranaki ,Geographic units,Counts,126,2017
Table 7,Counts of geographic units and employees,By region,Taranaki ,Geographic units,Counts,129,2018
Table 7,Counts of geographic units and employees,By region,Taranaki ,Geographic units,Counts,135,2019
Table 7,Counts of geographic units and employees,By region,Taranaki ,Geographic units,Counts,141,2020
Table 7,Counts of geographic units and employees,By region,Taranaki ,Geographic units,Counts,153,2021
Table 7,Counts of geographic units and employees,By region,Taranaki ,Geographic units,Counts,159,2022
Table 7,Counts of geographic units and employees,By region,Taranaki ,Geographic units,Counts,162,2023
Table 7,Counts of geographic units and employees,By region,Manawatu-Whanganui ,Geographic units,Counts,300,2017
Table 7,Counts of geographic units and employees,By region,Manawatu-Whanganui ,Geographic units,Counts,330,2018
Table 7,Counts of geographic units and employees,By region,Manawatu-Whanganui ,Geographic units,Counts,327,2019
Table 7,Counts of geographic units and employees,By region,Manawatu-Whanganui ,Geographic units,Counts,345,2020
Table 7,Counts of geographic units and employees,By region,Manawatu-Whanganui ,Geographic units,Counts,351,2021
Table 7,Counts of geographic units and employees,By region,Manawatu-Whanganui ,Geographic units,Counts,372,2022
Table 7,Counts of geographic units and employees,By region,Manawatu-Whanganui ,Geographic units,Counts,372,2023
Table 7,Counts of geographic units and employees,By region,Wellington ,Geographic units,Counts,381,2017
Table 7,Counts of geographic units and employees,By region,Wellington ,Geographic units,Counts,405,2018
Table 7,Counts of geographic units and employees,By region,Wellington ,Geographic units,Counts,438,2019
Table 7,Counts of geographic units and employees,By region,Wellington ,Geographic units,Counts,471,2020
Table 7,Counts of geographic units and employees,By region,Wellington ,Geographic units,Counts,480,2021
Table 7,Counts of geographic units and employees,By region,Wellington ,Geographic units,Counts,519,2022
Table 7,Counts of geographic units and employees,By region,Wellington ,Geographic units,Counts,543,2023
Table 7,Counts of geographic units and employees,By region,South Island combined,Geographic units,Counts,690,2017
Table 7,Counts of geographic units and employees,By region,South Island combined,Geographic units,Counts,729,2018
Table 7,Counts of geographic units and employees,By region,South Island combined,Geographic units,Counts,789,2019
Table 7,Counts of geographic units and employees,By region,South Island combined,Geographic units,Counts,840,2020
Table 7,Counts of geographic units and employees,By region,South Island combined,Geographic units,Counts,873,2021
Table 7,Counts of geographic units and employees,By region,South Island combined,Geographic units,Counts,933,2022
Table 7,Counts of geographic units and employees,By region,South Island combined,Geographic units,Counts,939,2023
Table 7,Counts of geographic units and employees,By region,Area outside region,Geographic units,Counts,15,2017
Table 7,Counts of geographic units and employees,By region,Area outside region,Geographic units,Counts,15,2018
Table 7,Counts of geographic units and employees,By region,Area outside region,Geographic units,Counts,15,2019
Table 7,Counts of geographic units and employees,By region,Area outside region,Geographic units,Counts,15,2020
Table 7,Counts of geographic units and employees,By region,Area outside region,Geographic units,Counts,18,2021
Table 7,Counts of geographic units and employees,By region,Area outside region,Geographic units,Counts,18,2022
Table 7,Counts of geographic units and employees,By region,Area outside region,Geographic units,Counts,18,2023
Table 7,Counts of geographic units and employees,By region,Total,Geographic units,Counts,4383,2017
Table 7,Counts of geographic units and employees,By region,Total,Geographic units,Counts,4635,2018
Table 7,Counts of geographic units and employees,By region,Total,Geographic units,Counts,4941,2019
Table 7,Counts of geographic units and employees,By region,Total,Geographic units,Counts,5199,2020
Table 7,Counts of geographic units and employees,By region,Total,Geographic units,Counts,5427,2021
Table 7,Counts of geographic units and employees,By region,Total,Geographic units,Counts,5796,2022
Table 7,Counts of geographic units and employees,By region,Total,Geographic units,Counts,5880,2023
Table 7,Counts of geographic units and employees,By region,Northland ,Employee count,Count,2800,2017
Table 7,Counts of geographic units and employees,By region,Northland ,Employee count,Count,3200,2018
Table 7,Counts of geographic units and employees,By region,Northland ,Employee count,Count,3200,2019
Table 7,Counts of geographic units and employees,By region,Northland ,Employee count,Count,3550,2020
Table 7,Counts of geographic units and employees,By region,Northland ,Employee count,Count,3950,2021
Table 7,Counts of geographic units and employees,By region,Northland ,Employee count,Count,4400,2022
Table 7,Counts of geographic units and employees,By region,Northland ,Employee count,Count,4350,2023
Table 7,Counts of geographic units and employees,By region,Auckland ,Employee count,Count,8200,2017
Table 7,Counts of geographic units and employees,By region,Auckland ,Employee count,Count,8800,2018
Table 7,Counts of geographic units and employees,By region,Auckland ,Employee count,Count,9900,2019
Table 7,Counts of geographic units and employees,By region,Auckland ,Employee count,Count,10700,2020
Table 7,Counts of geographic units and employees,By region,Auckland ,Employee count,Count,11500,2021
Table 7,Counts of geographic units and employees,By region,Auckland ,Employee count,Count,13900,2022
Table 7,Counts of geographic units and employees,By region,Auckland ,Employee count,Count,12900,2023
Table 7,Counts of geographic units and employees,By region,Waikato ,Employee count,Count,5100,2017
Table 7,Counts of geographic units and employees,By region,Waikato ,Employee count,Count,5200,2018
Table 7,Counts of geographic units and employees,By region,Waikato ,Employee count,Count,5200,2019
Table 7,Counts of geographic units and employees,By region,Waikato ,Employee count,Count,5500,2020
Table 7,Counts of geographic units and employees,By region,Waikato ,Employee count,Count,5100,2021
Table 7,Counts of geographic units and employees,By region,Waikato ,Employee count,Count,5600,2022
Table 7,Counts of geographic units and employees,By region,Waikato ,Employee count,Count,5800,2023
Table 7,Counts of geographic units and employees,By region,Bay of Plenty ,Employee count,Count,"5,200",2017
Table 7,Counts of geographic units and employees,By region,Bay of Plenty ,Employee count,Count,"5,800",2018
Table 7,Counts of geographic units and employees,By region,Bay of Plenty ,Employee count,Count,"6,000",2019
Table 7,Counts of geographic units and employees,By region,Bay of Plenty ,Employee count,Count,"6,200",2020
Table 7,Counts of geographic units and employees,By region,Bay of Plenty ,Employee count,Count,"6,000",2021
Table 7,Counts of geographic units and employees,By region,Bay of Plenty ,Employee count,Count,"6,200",2022
Table 7,Counts of geographic units and employees,By region,Bay of Plenty ,Employee count,Count,6800,2023
Table 7,Counts of geographic units and employees,By region,Gisborne,Employee count,Count,1650,2017
Table 7,Counts of geographic units and employees,By region,Gisborne,Employee count,Count,1650,2018
Table 7,Counts of geographic units and employees,By region,Gisborne,Employee count,Count,1750,2019
Table 7,Counts of geographic units and employees,By region,Gisborne,Employee count,Count,1750,2020
Table 7,Counts of geographic units and employees,By region,Gisborne,Employee count,Count,1850,2021
Table 7,Counts of geographic units and employees,By region,Gisborne,Employee count,Count,1950,2022
Table 7,Counts of geographic units and employees,By region,Gisborne,Employee count,Count,1900,2023
Table 7,Counts of geographic units and employees,By region,Hawke's Bay ,Employee count,Count,1600,2017
Table 7,Counts of geographic units and employees,By region,Hawke's Bay ,Employee count,Count,1600,2018
Table 7,Counts of geographic units and employees,By region,Hawke's Bay ,Employee count,Count,1800,2019
Table 7,Counts of geographic units and employees,By region,Hawke's Bay ,Employee count,Count,1900,2020
Table 7,Counts of geographic units and employees,By region,Hawke's Bay ,Employee count,Count,1900,2021
Table 7,Counts of geographic units and employees,By region,Hawke's Bay ,Employee count,Count,2100,2022
Table 7,Counts of geographic units and employees,By region,Hawke's Bay ,Employee count,Count,2050,2023
Table 7,Counts of geographic units and employees,By region,Taranaki ,Employee count,Count,670,2017
Table 7,Counts of geographic units and employees,By region,Taranaki ,Employee count,Count,620,2018
Table 7,Counts of geographic units and employees,By region,Taranaki ,Employee count,Count,800,2019
Table 7,Counts of geographic units and employees,By region,Taranaki ,Employee count,Count,760,2020
Table 7,Counts of geographic units and employees,By region,Taranaki ,Employee count,Count,880,2021
Table 7,Counts of geographic units and employees,By region,Taranaki ,Employee count,Count,1000,2022
Table 7,Counts of geographic units and employees,By region,Taranaki ,Employee count,Count,980,2023
