Table_Tau,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period,Footnotes
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Nga ratonga ngaio, putaiao, hangarau hoki",Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,15912,2017,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Nga ratonga ngaio, putaiao, hangarau hoki",Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,16350,2018,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Nga ratonga ngaio, putaiao, hangarau hoki",Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,16482,2019,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Nga ratonga ngaio, putaiao, hangarau hoki",Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,15453,2020,1 me 4
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te whakahaere me te haumaru tumatanui,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,582,2012,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te whakahaere me te haumaru tumatanui,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,561,2013,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te whakahaere me te haumaru tumatanui,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,552,2014,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te whakahaere me te haumaru tumatanui,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,537,2015,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te whakahaere me te haumaru tumatanui,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,540,2016,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te whakahaere me te haumaru tumatanui,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,540,2017,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te whakahaere me te haumaru tumatanui,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,537,2018,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te whakahaere me te haumaru tumatanui,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,534,2019,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te whakahaere me te haumaru tumatanui,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,525,2020,1 me 4
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Nga ratonga reti whare, reti taputapu, hoko whare, whenua hoki",Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,5145,2012,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Nga ratonga reti whare, reti taputapu, hoko whare, whenua hoki",Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,5241,2013,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Nga ratonga reti whare, reti taputapu, hoko whare, whenua hoki",Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,5466,2014,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Nga ratonga reti whare, reti taputapu, hoko whare, whenua hoki",Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,5589,2015,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Nga ratonga reti whare, reti taputapu, hoko whare, whenua hoki",Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,5718,2016,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Nga ratonga reti whare, reti taputapu, hoko whare, whenua hoki",Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,5970,2017,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Nga ratonga reti whare, reti taputapu, hoko whare, whenua hoki",Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,6111,2018,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Nga ratonga reti whare, reti taputapu, hoko whare, whenua hoki",Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,6153,2019,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Nga ratonga reti whare, reti taputapu, hoko whare, whenua hoki",Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,5634,2020,1 me 4
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te hokohoko a-toa,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,13671,2012,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te hokohoko a-toa,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,13737,2013,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te hokohoko a-toa,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,13767,2014,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te hokohoko a-toa,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,13626,2015,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te hokohoko a-toa,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,13872,2016,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te hokohoko a-toa,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,14019,2017,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te hokohoko a-toa,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,14100,2018,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te hokohoko a-toa,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,13806,2019,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te hokohoko a-toa,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,13233,2020,1 me 4
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Tapeke,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,145314,2012,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Tapeke,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,145839,2013,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Tapeke,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,147555,2014,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Tapeke,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,148002,2015,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Tapeke,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,150573,2016,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Tapeke,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,154155,2017,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Tapeke,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,156081,2018,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Tapeke,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,156279,2019,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Tapeke,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,150192,2020,1 me 4
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Te ikiiki, te kawe mera me nga whare rokiroki rawa",Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,4689,2012,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Te ikiiki, te kawe mera me nga whare rokiroki rawa",Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,4629,2013,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Te ikiiki, te kawe mera me nga whare rokiroki rawa",Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,4650,2014,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Te ikiiki, te kawe mera me nga whare rokiroki rawa",Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,4683,2015,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Te ikiiki, te kawe mera me nga whare rokiroki rawa",Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,4845,2016,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Te ikiiki, te kawe mera me nga whare rokiroki rawa",Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,4965,2017,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Te ikiiki, te kawe mera me nga whare rokiroki rawa",Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,5034,2018,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Te ikiiki, te kawe mera me nga whare rokiroki rawa",Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,5052,2019,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Te ikiiki, te kawe mera me nga whare rokiroki rawa",Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,4767,2020,1 me 4
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te hokohoko a-pakihi,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,8085,2012,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te hokohoko a-pakihi,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,8049,2013,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te hokohoko a-pakihi,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,8061,2014,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te hokohoko a-pakihi,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,8016,2015,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te hokohoko a-pakihi,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,8058,2016,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te hokohoko a-pakihi,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,8061,2017,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te hokohoko a-pakihi,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,7923,2018,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te hokohoko a-pakihi,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,7818,2019,1
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te hokohoko a-pakihi,Nga umanga katoa o Aotearoa,Tatauranga o nga umanga,7380,2020,1 me 4
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Nga whare noho me nga ratonga kai,"Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,33,2012,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Nga whare noho me nga ratonga kai,"Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,39,2013,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Nga whare noho me nga ratonga kai,"Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,39,2014,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Nga whare noho me nga ratonga kai,"Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,36,2015,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Nga whare noho me nga ratonga kai,"Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,39,2016,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Nga whare noho me nga ratonga kai,"Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,33,2017,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Nga whare noho me nga ratonga kai,"Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,33,2018,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Nga whare noho me nga ratonga kai,"Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,27,2019,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Nga whare noho me nga ratonga kai,"Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,24,2020,1 me 2 me 4
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Nga ratonga whakahaere, tautoko hoki","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,30,2012,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Nga ratonga whakahaere, tautoko hoki","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,30,2013,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Nga ratonga whakahaere, tautoko hoki","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,33,2014,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Nga ratonga whakahaere, tautoko hoki","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,33,2015,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Nga ratonga whakahaere, tautoko hoki","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,39,2016,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Nga ratonga whakahaere, tautoko hoki","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,30,2017,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Nga ratonga whakahaere, tautoko hoki","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,27,2018,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Nga ratonga whakahaere, tautoko hoki","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,30,2019,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Nga ratonga whakahaere, tautoko hoki","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,30,2020,1 me 2 me 4
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Te ahumahi, te mahi ngahere, me te mahi hi ika","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,51,2012,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Te ahumahi, te mahi ngahere, me te mahi hi ika","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,51,2013,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Te ahumahi, te mahi ngahere, me te mahi hi ika","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,57,2014,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Te ahumahi, te mahi ngahere, me te mahi hi ika","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,63,2015,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Te ahumahi, te mahi ngahere, me te mahi hi ika","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,66,2016,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Te ahumahi, te mahi ngahere, me te mahi hi ika","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,66,2017,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Te ahumahi, te mahi ngahere, me te mahi hi ika","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,60,2018,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Te ahumahi, te mahi ngahere, me te mahi hi ika","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,57,2019,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Te ahumahi, te mahi ngahere, me te mahi hi ika","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,51,2020,1 me 2 me 4
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Nga ratonga toi, hakinakina hoki","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,36,2012,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Nga ratonga toi, hakinakina hoki","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,39,2013,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Nga ratonga toi, hakinakina hoki","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,39,2014,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Nga ratonga toi, hakinakina hoki","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,39,2015,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Nga ratonga toi, hakinakina hoki","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,33,2016,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Nga ratonga toi, hakinakina hoki","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,33,2017,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Nga ratonga toi, hakinakina hoki","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,33,2018,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Nga ratonga toi, hakinakina hoki","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,30,2019,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Nga ratonga toi, hakinakina hoki","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,27,2020,1 me 2 me 4
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te waihanga,"Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,36,2012,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te waihanga,"Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,42,2013,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te waihanga,"Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,42,2014,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te waihanga,"Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,45,2015,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te waihanga,"Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,48,2016,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te waihanga,"Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,45,2017,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te waihanga,"Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,39,2018,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te waihanga,"Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,39,2019,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te waihanga,"Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,39,2020,1 me 2 me 4
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te matauranga me te whakangungu,"Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,21,2012,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te matauranga me te whakangungu,"Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,24,2013,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te matauranga me te whakangungu,"Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,24,2014,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te matauranga me te whakangungu,"Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,27,2015,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te matauranga me te whakangungu,"Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,27,2016,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te matauranga me te whakangungu,"Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,27,2017,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te matauranga me te whakangungu,"Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,30,2018,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te matauranga me te whakangungu,"Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,27,2019,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,Te matauranga me te whakangungu,"Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,27,2020,1 me 2 me 4
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Te hiko, haukapuni, wai, ratonga parahanga hoki","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,6,2012,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Te hiko, haukapuni, wai, ratonga parahanga hoki","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,6,2013,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Te hiko, haukapuni, wai, ratonga parahanga hoki","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,6,2014,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Te hiko, haukapuni, wai, ratonga parahanga hoki","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,3,2015,1 me 2
Ripanga 3,"Tatauranga o nga umanga – umanga iti, wawaenga Maori tapoi Maori hoki",A-wehenga ahumahi,"Te hiko, haukapuni, wai, ratonga parahanga hoki","Nga umanga iti, wawaenga Maori",Tatauranga o nga umanga,3,2016,1 me 2
